58.0894 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
353.7868 	DATA 	Keypress: num_add
354.7868 	DATA 	Keypress: num_add
355.7867 	DATA 	Keypress: num_add
356.7866 	DATA 	Keypress: num_add
356.8689 	EXP 	Sound  started
357.7864 	DATA 	Keypress: num_add
358.7869 	DATA 	Keypress: num_add
359.7868 	DATA 	Keypress: num_add
360.0217 	DATA 	Keypress: 1
360.7864 	DATA 	Keypress: num_add
361.7868 	DATA 	Keypress: num_add
362.7866 	DATA 	Keypress: num_add
363.7863 	DATA 	Keypress: num_add
364.7863 	DATA 	Keypress: num_add
365.7865 	DATA 	Keypress: num_add
366.7862 	DATA 	Keypress: num_add
367.7863 	DATA 	Keypress: num_add
368.7860 	DATA 	Keypress: num_add
369.7861 	DATA 	Keypress: num_add
370.7861 	DATA 	Keypress: num_add
371.7864 	DATA 	Keypress: num_add
372.7863 	DATA 	Keypress: num_add
373.7862 	DATA 	Keypress: num_add
374.7872 	DATA 	Keypress: num_add
374.8702 	EXP 	Sound  started
375.7869 	DATA 	Keypress: num_add
376.4379 	DATA 	Keypress: 1
376.7867 	DATA 	Keypress: num_add
377.7867 	DATA 	Keypress: num_add
378.7867 	DATA 	Keypress: num_add
379.7870 	DATA 	Keypress: num_add
380.7867 	DATA 	Keypress: num_add
381.7866 	DATA 	Keypress: num_add
382.7869 	DATA 	Keypress: num_add
383.7865 	DATA 	Keypress: num_add
384.7867 	DATA 	Keypress: num_add
385.7863 	DATA 	Keypress: num_add
386.7864 	DATA 	Keypress: num_add
387.7864 	DATA 	Keypress: num_add
388.7864 	DATA 	Keypress: num_add
389.7866 	DATA 	Keypress: num_add
390.7866 	DATA 	Keypress: num_add
391.7863 	DATA 	Keypress: num_add
392.7866 	DATA 	Keypress: num_add
392.8716 	EXP 	Sound  started
393.7863 	DATA 	Keypress: num_add
394.7865 	DATA 	Keypress: num_add
395.7865 	DATA 	Keypress: num_add
396.7862 	DATA 	Keypress: num_add
397.7860 	DATA 	Keypress: num_add
398.7858 	DATA 	Keypress: num_add
399.7864 	DATA 	Keypress: num_add
400.7870 	DATA 	Keypress: num_add
401.7870 	DATA 	Keypress: num_add
402.7870 	DATA 	Keypress: num_add
403.7868 	DATA 	Keypress: num_add
404.7869 	DATA 	Keypress: num_add
405.7871 	DATA 	Keypress: num_add
406.7867 	DATA 	Keypress: num_add
406.8731 	EXP 	Sound  started
407.7867 	DATA 	Keypress: num_add
408.7868 	DATA 	Keypress: num_add
409.7865 	DATA 	Keypress: num_add
410.7868 	DATA 	Keypress: num_add
411.7865 	DATA 	Keypress: num_add
412.7864 	DATA 	Keypress: num_add
413.7867 	DATA 	Keypress: num_add
414.7868 	DATA 	Keypress: num_add
415.7867 	DATA 	Keypress: num_add
416.7865 	DATA 	Keypress: num_add
417.7861 	DATA 	Keypress: num_add
418.7866 	DATA 	Keypress: num_add
419.7862 	DATA 	Keypress: num_add
420.7860 	DATA 	Keypress: num_add
421.7864 	DATA 	Keypress: num_add
422.7862 	DATA 	Keypress: num_add
423.7861 	DATA 	Keypress: num_add
424.7861 	DATA 	Keypress: num_add
424.8747 	EXP 	Sound  started
425.7859 	DATA 	Keypress: num_add
426.7872 	DATA 	Keypress: num_add
427.7873 	DATA 	Keypress: num_add
428.7872 	DATA 	Keypress: num_add
429.7869 	DATA 	Keypress: num_add
430.7871 	DATA 	Keypress: num_add
431.7871 	DATA 	Keypress: num_add
432.7870 	DATA 	Keypress: num_add
433.7871 	DATA 	Keypress: num_add
434.7867 	DATA 	Keypress: num_add
435.7864 	DATA 	Keypress: num_add
436.7864 	DATA 	Keypress: num_add
437.7868 	DATA 	Keypress: num_add
438.7866 	DATA 	Keypress: num_add
439.7867 	DATA 	Keypress: num_add
440.7864 	DATA 	Keypress: num_add
441.7863 	DATA 	Keypress: num_add
442.7862 	DATA 	Keypress: num_add
442.8760 	EXP 	Sound  started
443.7866 	DATA 	Keypress: num_add
444.7864 	DATA 	Keypress: num_add
445.7861 	DATA 	Keypress: num_add
446.7864 	DATA 	Keypress: num_add
447.7865 	DATA 	Keypress: num_add
448.7865 	DATA 	Keypress: num_add
449.7860 	DATA 	Keypress: num_add
450.7862 	DATA 	Keypress: num_add
451.7862 	DATA 	Keypress: num_add
452.7868 	DATA 	Keypress: num_add
453.7871 	DATA 	Keypress: num_add
454.7871 	DATA 	Keypress: num_add
455.7870 	DATA 	Keypress: num_add
456.7867 	DATA 	Keypress: num_add
457.7869 	DATA 	Keypress: num_add
458.7870 	DATA 	Keypress: num_add
459.7868 	DATA 	Keypress: num_add
460.7867 	DATA 	Keypress: num_add
460.8776 	EXP 	Sound  started
461.7866 	DATA 	Keypress: num_add
462.2888 	DATA 	Keypress: 1
462.7863 	DATA 	Keypress: num_add
463.7870 	DATA 	Keypress: num_add
464.7864 	DATA 	Keypress: num_add
465.7866 	DATA 	Keypress: num_add
466.7865 	DATA 	Keypress: num_add
467.7864 	DATA 	Keypress: num_add
468.7862 	DATA 	Keypress: num_add
469.7869 	DATA 	Keypress: num_add
470.7865 	DATA 	Keypress: num_add
471.7865 	DATA 	Keypress: num_add
472.7863 	DATA 	Keypress: num_add
473.7861 	DATA 	Keypress: num_add
474.7863 	DATA 	Keypress: num_add
475.7864 	DATA 	Keypress: num_add
476.7862 	DATA 	Keypress: num_add
477.7862 	DATA 	Keypress: num_add
478.7865 	DATA 	Keypress: num_add
478.8787 	EXP 	Sound  started
479.7862 	DATA 	Keypress: num_add
479.9770 	DATA 	Keypress: 1
480.7869 	DATA 	Keypress: num_add
481.7869 	DATA 	Keypress: num_add
482.7871 	DATA 	Keypress: num_add
483.7868 	DATA 	Keypress: num_add
484.7869 	DATA 	Keypress: num_add
485.7869 	DATA 	Keypress: num_add
486.7876 	DATA 	Keypress: num_add
487.7869 	DATA 	Keypress: num_add
488.7865 	DATA 	Keypress: num_add
489.7864 	DATA 	Keypress: num_add
490.7868 	DATA 	Keypress: num_add
491.7866 	DATA 	Keypress: num_add
492.7865 	DATA 	Keypress: num_add
492.8800 	EXP 	Sound  started
493.7862 	DATA 	Keypress: num_add
494.7865 	DATA 	Keypress: num_add
495.7862 	DATA 	Keypress: num_add
496.7866 	DATA 	Keypress: num_add
497.7861 	DATA 	Keypress: num_add
498.7862 	DATA 	Keypress: num_add
499.7864 	DATA 	Keypress: num_add
500.7866 	DATA 	Keypress: num_add
501.7862 	DATA 	Keypress: num_add
502.7860 	DATA 	Keypress: num_add
503.7862 	DATA 	Keypress: num_add
504.7862 	DATA 	Keypress: num_add
505.7861 	DATA 	Keypress: num_add
506.7860 	DATA 	Keypress: num_add
507.7871 	DATA 	Keypress: num_add
508.7870 	DATA 	Keypress: num_add
509.7871 	DATA 	Keypress: num_add
510.7869 	DATA 	Keypress: num_add
510.8812 	EXP 	Sound  started
511.4850 	DATA 	Keypress: 1
511.7866 	DATA 	Keypress: num_add
512.7866 	DATA 	Keypress: num_add
513.7870 	DATA 	Keypress: num_add
514.7873 	DATA 	Keypress: num_add
515.7869 	DATA 	Keypress: num_add
516.7868 	DATA 	Keypress: num_add
517.7864 	DATA 	Keypress: num_add
518.7867 	DATA 	Keypress: num_add
519.7869 	DATA 	Keypress: num_add
520.7866 	DATA 	Keypress: num_add
521.7867 	DATA 	Keypress: num_add
522.7867 	DATA 	Keypress: num_add
523.7875 	DATA 	Keypress: num_add
524.7864 	DATA 	Keypress: num_add
525.7861 	DATA 	Keypress: num_add
526.7868 	DATA 	Keypress: num_add
527.7864 	DATA 	Keypress: num_add
528.7861 	DATA 	Keypress: num_add
528.8826 	EXP 	Sound  started
529.7862 	DATA 	Keypress: num_add
529.9859 	DATA 	Keypress: 1
530.7863 	DATA 	Keypress: num_add
531.7862 	DATA 	Keypress: num_add
532.7860 	DATA 	Keypress: num_add
533.7857 	DATA 	Keypress: num_add
534.7867 	DATA 	Keypress: num_add
535.7872 	DATA 	Keypress: num_add
536.7872 	DATA 	Keypress: num_add
537.7869 	DATA 	Keypress: num_add
538.7868 	DATA 	Keypress: num_add
539.7870 	DATA 	Keypress: num_add
540.7870 	DATA 	Keypress: num_add
541.7867 	DATA 	Keypress: num_add
542.7870 	DATA 	Keypress: num_add
543.7869 	DATA 	Keypress: num_add
544.7864 	DATA 	Keypress: num_add
545.7865 	DATA 	Keypress: num_add
546.7865 	DATA 	Keypress: num_add
546.8841 	EXP 	Sound  started
547.7865 	DATA 	Keypress: num_add
548.1067 	DATA 	Keypress: 1
548.7861 	DATA 	Keypress: num_add
549.7864 	DATA 	Keypress: num_add
550.7861 	DATA 	Keypress: num_add
551.7862 	DATA 	Keypress: num_add
552.7865 	DATA 	Keypress: num_add
553.7860 	DATA 	Keypress: num_add
554.7865 	DATA 	Keypress: num_add
555.7866 	DATA 	Keypress: num_add
556.7859 	DATA 	Keypress: num_add
557.7861 	DATA 	Keypress: num_add
558.7866 	DATA 	Keypress: num_add
559.7863 	DATA 	Keypress: num_add
560.7858 	DATA 	Keypress: num_add
561.7872 	DATA 	Keypress: num_add
